customerID,children,credit,creditCard,custcare,custcareTotal,custcareLast,directas,directasLast,dropvce,dropvceLast,income,marry,mou,mouTotal,mouChange,occupation,outcalls,overage,overageMax,overageMin,peakOffPeak,peakOffPeakLast,recchrge,regionType,revenue,revenueTotal,revenueChange,roam,churn
1000004,1,b,1,0,0,0,0,0,0,0,6,yes,7.4893297733,44.93597864,-0.090341587,crafts,5,0,0,0,0.2608695652,0.25,38,town,38.66,231.96,0.0302793004,0,0
1000012,1,a,1,0,0,0,0,0,0,0,9,yes,24.25015548,145.50093288,-0.026690553,,12,0,0,0,4.75,5,34.98,,35.49,212.94,-0.04059243,0,0
1000046,0,b,1,5,9,5,0,0,18,17,9,no,678.59026378,1357.1805276,0.0272780076,professional,185,2.8676997505,3.006344929,2.729054572,2.4166666667,2.4,54.98,suburban,59.96,119.92,0.0202156334,0,1
1000056,0,b,0,0,0,0,0,0,0,0,0,unknown,101.36845225,405.47380901,0.0240367336,,30,0,0,0,1.8780487805,1.8181818182,50,town,51.5025,206.01,0.013,0,1
1000063,0,b,1,0,0,0,0,0,4,4,6,no,339.67286146,2038.0371688,0.0847122255,,229,0,0,0,8.6830985915,8.75,75,suburban,91.045,546.27,-0.01281361,0,0
1000069,1,a,1,0,0,0,1,1,4,4,6,yes,386.52075875,1932.6037938,0.0838222473,professional,158,0,0,0,2.4112554113,2.4081632653,59.99,suburban,59.99,299.95,0,0,1
1000085,0,a,1,0,0,0,0,0,8,8,7,yes,1360.6716042,8164.0296251,-0.000201459,,491,4.7724142405,4.9413085011,4.49833102,14.025510204,13.8,75,town,92.556666667,555.34,-0.070094439,2,0
1000107,0,a,0,1,5,1,0,0,3,3,0,unknown,1142.2146089,5711.0730444,-0.10207767,,121,0,0,0,1.3397683398,1.3265306122,94.99,,94.99,474.95,0,0,1
1000121,0,c,1,0,0,0,0,0,0,0,3,no,219.09645769,1314.5787461,-0.047443156,,30,0,0,0,0.7647058824,0.75,29.99,,34.015,204.09,0.0750853242,0,0
1000124,0,b,1,0,0,0,3,3,11,10,3,no,2471.4829723,12357.414862,-0.02648746,,755,686.32902507,732.32810334,606.30326921,1.8766184311,1.8823529412,82.99,,158.608,793.04,0.0307510349,1,1
1000135,0,de,1,0,0,0,0,0,8,8,5,yes,773.3498828,4640.0992968,-0.001279068,clerical,300,44.541581803,47.137311346,39.932857061,3.3665048544,3.3623188406,60,,70.388333333,422.33,0.0053087455,0,0
1000149,0,a,1,0,0,0,4,4,3,3,6,no,409.65549187,1228.9664756,0.0015428466,,168,0,0,0,11.317073171,11.615384615,75,town,78.75,236.25,-0.013707165,0,1
1000161,1,b,1,0,0,0,0,0,0,0,7,yes,16.936679492,33.873358983,-0.017436457,,20,0,0,0,5.6666666667,5.6666666667,30,suburban,30,60,0,0,1
1000184,0,a,1,0,0,0,0,0,1,1,5,unknown,32.368242291,64.736484581,0.0636854209,,24,32.281600101,34.295317465,30.267882736,2.3571428571,2.4285714286,5,,8.045,16.09,-0.082240763,1,1
1000203,0,a,1,1,2,1,0,0,44,47,4,unknown,3917.8489487,7835.6978973,-0.030022166,professional,850,0,0,0,5.1335740072,5.1470588235,58.79,rural,58.79,117.58,0,0,1
1000223,0,a,0,0,0,0,0,0,0,0,0,unknown,171.99924078,515.99772233,0.0816175947,,14,0,0,0,1.3333333333,1.3333333333,75,suburban,98.943333333,296.83,-0.017828526,0,1
1000228,0,b,1,0,0,0,1,1,8,7,6,no,352.55073035,705.1014607,-0.138141307,crafts,166,0,0,0,3.0365853659,3.0263157895,55,,58.37,116.74,-0.013950323,0,1
1000230,0,c,1,1,6,1,0,0,6,6,3,no,726.87944856,4361.2766914,-0.070380557,,348,0,0,0,2.7707581227,2.7666666667,80,,89.331666667,535.99,0.0831559025,3,0
1000243,0,c,0,1,1,1,1,1,47,47,0,unknown,1778.1800038,1778.1800038,1.5159971636,,620,342.32707446,342.32707446,342.32707446,1.6382978723,1.6382978723,75,suburban,110.97,110.97,0.2118597794,0,1
1000259,0,a,0,6,32,7,1,1,7,7,0,yes,375.47212445,1877.3606222,0.017166268,,191,0,0,0,0.9291497976,0.9255319149,39.99,town,39.99,199.95,0,0,1
1000265,0,aa,1,0,0,0,0,0,2,2,7,yes,421.83001361,2530.9800816,0.0004953367,self-employed,68,2.8564948759,6.030719949,0,5.2923076923,5.4,50,suburban,50.966666667,305.8,-0.013374092,0,0
1000284,0,gy,0,0,0,0,17,17,3,3,0,unknown,1157.2586473,5786.2932363,-0.001763562,,570,0,0,0,2.0601503759,2.0607734807,83,,112.606,563.03,-0.003157135,0,1
1000308,0,a,1,0,0,0,0,0,0,0,7,yes,431.78945907,1727.1578363,-0.073662255,professional,175,0,0,0,6.5869565217,6.6818181818,50,town,50,200,0,0,1
1000312,0,a,1,3,19,3,0,0,2,2,9,yes,423.93900272,2543.6340163,-0.094580524,,147,0,0,0,4.7516339869,4.8333333333,50,,51.045,306.27,-0.02202729,0,0
1000328,0,a,1,1,6,1,0,0,3,3,7,yes,467.78274907,2806.6964944,-0.126999253,,145,0,0,0,1.4744318182,1.4814814815,79.99,suburban,79.99,479.94,0,1,0
1000354,1,a,1,0,0,0,0,0,0,0,6,no,6.3804004689,31.902002345,0.0192326279,,0,0,0,0,0,0,10,,10.044,50.22,0.009,0,1
1000357,0,b,1,0,0,0,1,1,5,5,7,no,600.38973687,3602.3384212,-0.089920831,,138,0,0,0,3,3.0303030303,80.88,suburban,80.88,485.28,0,0,0
1000378,0,a,1,0,0,0,1,1,7,7,9,no,247.99302482,743.97907447,-0.02542793,,78,0,0,0,4.5714285714,4.5,49.99,suburban,51.73,155.19,-0.00627328,0,1
1000396,1,b,1,0,0,0,2,2,7,6,5,yes,858.75065893,5152.5039536,0.0318796006,professional,358,203.94156835,223.16382284,185.82719024,3.6349892009,3.6233766234,50,suburban,76.338333333,458.03,0.0465148002,0,0
1000399,0,a,0,1,4,1,2,1,1,1,0,unknown,436.60827508,1746.4331003,-0.062052704,,133,0,0,0,7.564516129,7.6,75,suburban,124.665,498.66,-0.035152636,27,1
1000408,0,a,1,0,0,0,0,0,0,0,1,unknown,0,0,0,,0,0,0,0,0,0,5,suburban,5.128,25.64,0.018,0,1
1000422,0,a,1,0,0,0,0,0,12,12,6,yes,890.94341562,5345.6604937,-0.114593301,professional,305,0,0,0,5.6678832117,5.6744186047,96.78,town,96.78,580.68,0,0,0
1000429,0,gy,0,1,3,1,0,0,1,1,0,unknown,47.108025986,141.32407796,-0.044282036,,25,0,0,0,24,24,29.99,unknown,30.876666667,92.63,-0.038165491,0,1
1000441,1,a,1,0,0,0,0,0,0,0,6,yes,3.1589937891,9.4769813673,0.0132136248,,1,0,0,0,0,0,10,town,10,30,0,0,1
1000462,0,c,1,0,0,0,0,0,3,2,3,no,539.03187366,1617.095621,-0.12003204,,71,31.919230852,33.535388995,30.907246571,0.7899159664,0.7894736842,34.99,suburban,43.696666667,131.09,0.0098669114,0,1
1000481,0,c,1,0,0,0,10,8,19,14,6,yes,1802.2631983,10813.57919,0.1421078121,,558,25.094967102,26.705901795,23.9998133,7.4810126582,7.4444444444,75,suburban,92.968333333,557.81,0.0296174863,0,0
1000511,0,a,1,2,12,2,2,2,19,23,5,no,1014.0571959,6084.3431753,0.0089376275,clerical,363,0,0,0,2.6886632826,2.7021276596,75,suburban,92.723333333,556.34,-0.014647577,0,0
1000515,0,c,0,0,0,0,3,2,34,30,0,unknown,956.64759658,4783.2379829,-0.07172266,,397,0,0,0,5.6321070234,5.5862068966,99.99,,129.026,645.13,-0.080234543,20,1
